name,title,source,courtesy_name,pseudonym,birth_year,birth_year_type,death_year,death_year_type,native_place,hometown_province,hometown_city,hometown_county,town,village,source_area,period,faction,summary,crimes,fate,residence_changes,harm_level,harm_name,harm_desc,period_raw,period_note,period_start,period_end,merged_count
杨仲华,伪苏皖边区绥靖军总司令,hanjian,,,,,,,云南_昆明_呈贡；安徽六安；安徽宣城；安徽滁州；安徽阜阳；安徽马鞍山；山东聊城；江苏_南京_雨花台；江西_九江；湖北_咸宁_通山；云南普洱西,,,,,,云南_昆明_呈贡；安徽_六安_霍邱；安徽_宣城_宁国；安徽_滁州_来安；安徽_阜阳_颍上；安徽_马鞍山_雨山；山东_聊城_茌平；江苏_南京_雨花台；江西_九江；湖北_咸宁_通山；陕西_西安_蓝田,1941-1945,,,原国民党军将领，投敌后任伪苏皖边区绥靖军总司令。；原国民党军将领，投敌后任伪苏皖边区绥靖军总司令，在苏皖交界包括六安、霍邱附近进行伪化活动。；原国民党军将领，投敌后任伪苏皖边区绥靖军总司令，活动于苏皖边区包括宣城一带。；原国民党军官，投敌后任伪苏皖边区绥靖军总司令，其伪军活动范围覆盖安徽滁州、来安等县，协助日军维持占领区治安。；投敌后任伪苏皖边区绥靖军总司令，在皖北、苏北地区收编土匪武装，配合日军对阜阳、颍上等地的抗日力量进行扫荡。；汪伪伪军头目，率部在苏皖边区活动，马鞍山、当涂沿江一带为其伪军活动范围之一，配合日军清乡。；投敌后驻苏北、山东交界，与聊城地区伪军有协同。；在江苏北部组织伪军，配合日军扫荡。；江苏人，原国民党军将领，投敌后任伪苏皖边区绥靖军总司令，在苏皖赣边区配合日军扫荡。；伪军头目，其部队在长江中下游地区包括湖北东部配合日军清乡。；投靠日本，在华中及华北包括陕西周边地区配合日军进行统治。,未知,,A,甲级,省部级/大军区级要员,1941-1945,,1941,1945,11
项致庄,伪浙江省长、伪军头目,hanjian,,,,,,,浙江杭州；云南_昆明_呈贡,浙江,杭州,,,,云南_昆明_呈贡；浙江_丽水_庆元,1940-1945,,,原国民党军将领，投敌后任伪浙江省长等职。；浙江杭州人，抗战期间任伪浙江省长、伪军师长等职，在浙江地区配合日军扫荡抗日武装。,未知,,A,甲级,省部级/大军区级要员,1943-1945；1940-1945,,1940,1945,2
傅式说,伪浙江省长,hanjian,,,,,,,浙江温州乐清；云南_昆明_呈贡；浙江绍兴；浙江舟山,浙江,温州,乐清,,,云南_昆明_呈贡；江西_九江；浙江_丽水_庆元；浙江_绍兴_诸暨；浙江_舟山；浙江_金华_婺城,1940-1945,,,汪伪政权要员，任伪浙江省长等职。；浙江乐清人，汪伪政权浙江省长，配合日军在浙江沦陷区推行伪化统治。；浙江乐清人，汪伪浙江省长，在浙江沦陷区推行伪化统治。；浙江乐清人，抗战期间投靠汪伪政权，出任伪浙江省长，协助日军在浙江的统治。；继任伪浙江省长，在诸暨、绍兴等地实施“清乡”和“治安强化”运动，配合日军扫荡。；作为伪浙江省最高行政长官，直接管辖舟山地区，配合日军“治安强化”运动。；浙江乐清人，抗战期间出任伪浙江省长，协助日军统治浙江，1947年以汉奸罪被处决。,被处决,,A,甲级,省部级/大军区级要员,1940-1945；1941-1944,,1940,1945,7
高冠吾,伪江苏省长、伪南京市长,hanjian,,,,,,,江苏南京；江苏镇江,,,,,,云南_昆明_呈贡；江苏_镇江_京口,1938-1945,,,伪维新政府及汪伪政权要员，历任伪南京市长、伪江苏省长等职。；在镇江地区推行汪伪政权法令，协助日军征粮、拉夫，镇压抗日活动。,未知,,A,甲级,省部级/大军区级要员,1938-1945；1940-1945,,1938,1945,2
陈则民,伪江苏省长,hanjian,,,,,,,云南_昆明_呈贡；江西九江；重庆_万州,,,,,,云南_昆明_呈贡；江西_九江_濂溪；重庆_万州,1938-1940,,,伪维新政府要员，任伪江苏省长。；伪维新政府要员，参与华中沦陷区伪化统治，其体系影响江西九江一带的维持会组织。；江苏伪政权头目，与重庆地区无直接关联。,未知,,A,甲级,省部级/大军区级要员,1938-1940,,1938,1940,3
郝鹏举,伪淮海省长、伪军头目,hanjian,,,,,,,云南_昆明_呈贡；江苏_南京_雨花台,,,,,,云南_昆明_呈贡；江苏_南京_雨花台,1943-1945,,,原国民党军将领，投敌后任伪淮海省长、伪军头目，后反复无常。；原国民党军官，投敌后任伪淮海省长，在江苏北部组织伪军，配合日军作战。,未知,,A,甲级,省部级/大军区级要员,1943-1945,,1943,1945,2
孙良诚,伪第二方面军总司令,hanjian,,,,,,,湖南常德津；云南_昆明_呈贡；安徽六安；安徽安庆；安徽阜阳；江苏_南京_六合；江苏宿迁；江苏徐州；青海黄南河南；湖北_咸宁_通山；云南普洱西,湖南,常德,津,,,云南_昆明_呈贡；安徽_六安_霍邱；安徽_安庆；安徽_安庆_大观；安徽_阜阳_颍上；江苏_南京_六合；江苏_宿迁_泗阳；江苏_徐州_邳州；河南_南阳_内乡；湖北_咸宁_通山；湖南_怀化_怀化洪江管理；陕西_西安_周至,1942-1945,,,原国民党军将领，1942年率部投敌，任伪第二方面军总司令，配合日军进攻抗日根据地。；原国民党军将领，1942年率部投敌，所部伪军在苏皖北部活动，曾窜扰六安、霍邱一带。；率伪军驻扎安徽西部，多次进犯安庆周边抗日根据地。；率伪军驻防安徽部分地区，包括安庆附近，参与对抗日根据地的进攻。；原国民党军将领，1942年投敌，所部伪军活动于鲁西、皖北、豫东，曾配合日军扫荡阜阳周边抗日根据地，征收粮秣。；原国民党第三十九集团军副总司令，1942年投敌，所部驻防苏北、苏中，参与日军“扫荡”和“清乡”行动。；原国民党军将领，投汪伪后任伪第二方面军总司令，所部驻防苏北，包括宿迁、泗阳一带，配合日军作战。；率部驻防苏北、徐州地区，在邳州境内设立据点，参与“扫荡”八路军和地方游击队。；原国民党军将领，1942年在河南投敌，任伪第二方面军总司令，所部在河南、山东一带配合日军作战，镇压抗日力量。；原国民党将领投敌，任伪第二方面军总司令，其部队在华中地区配合日军作战。；天津人，原国民党将领，抗战期间投靠日军，任伪第二方面军总司令，在华中地区包括湖南北部进行伪化统治。；率部投敌，在华北地区配合日军作战，其伪军活动范围涉及华北，对陕西抗日根据地有间接威胁。,未知,,A,甲级,省部级/大军区级要员,1942-1945,,1942,1945,12
吴化文,伪第三方面军总司令,hanjian,,,,,,,云南_昆明_呈贡；安徽六安；安徽安庆；安徽_宣城_郎溪；安徽阜阳；安徽黄山；江苏_南京_六合；江苏宿迁；江苏徐州；青海黄南河南；湖北_咸宁_通山；湖南_怀化_怀化洪江管理；云南普洱西；陕西_西安_灞桥,,,,,,云南_昆明_呈贡；安徽_六安_霍邱；安徽_安庆；安徽_宣城_郎溪；安徽_阜阳_颍上；安徽_阜阳_颍东；安徽_黄山_休宁；江苏_南京_六合；江苏_宿迁_泗阳；江苏_徐州_邳州；河南_南阳_内乡；湖北_咸宁_通山；湖南_怀化_怀化洪江管理；陕西_西安_周至；陕西_西安_灞桥,1943-1945,,,原国民党军将领，1943年率部投敌，任伪第三方面军总司令，配合日军扫荡山东抗日根据地。；原国民党军将领，1943年投敌，所部伪军在安徽北部活动，与六安、霍邱地区伪军有协同。；其伪军部队曾调至安徽，在安庆附近与抗日武装作战。；原国民党军将领，投敌后任伪军要职，其部队在安徽及山东交界活动，对安徽沦陷区有影响。；原国民党军新编第四师师长，1943年投敌，所部伪军活动于鲁南、皖北，曾参与对阜阳周边地区的扫荡与清乡。；原国民党军将领，1943年率部投敌，任伪第三方面军总司令，所部在鲁苏皖边区活动，其势力范围覆盖皖北阜阳周边。；原国民党军将领，投敌后任伪第三方面军总司令，活动于山东、安徽北部，对安徽沦陷区有影响，间接涉及黄山、休宁地区。；原国民党新编第四师师长，1943年投敌，率部在苏北、皖北一带配合日军作战，残害新四军及百姓。；原国民党军将领，投汪伪后任伪第三方面军总司令，部队在苏北、鲁南活动，曾涉及宿迁、泗阳周边地区。；所部曾调防徐州一带，配合日军对邳州、宿迁等地进行“清乡”，杀害抗日群众。；原国民党军将领，1943年在山东投敌，任伪第三方面军总司令，其伪军活动范围涉及河南东部，配合日军扫荡抗日根据地。；原国民党将领投敌，任伪第三方面军总司令，其部队在华中地区配合日军行动。；山东人，原国民党将领，抗战期间投靠日军，任伪第三方面军总司令，在华东地区进行伪化统治。；在山东投敌，率伪军配合日军扫荡，其活动区域与陕西无直接关联，但属华北伪军网络。；在山东地区投敌，组织伪军配合日军扫荡抗日根据地。,未知,,A,甲级,省部级/大军区级要员,1943-1945,,1943,1945,15
张步云,伪山东保安军头目,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,1938-1945,,,山东伪军头目，长期配合日军进攻山东抗日根据地。,未知,,D,丁级,无明确职位或一般帮凶,1938-1945,,1938,1945,1
赵保原,伪山东保安军头目,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,1938-1945,,,山东伪军头目，长期配合日军进攻胶东抗日根据地。,未知,,D,丁级,无明确职位或一般帮凶,1938-1945,,1938,1945,1
王劲哉,伪军头目,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,1943-1945,,,原国民党军将领，被俘后投敌，任伪军头目。,未知,,D,丁级,无明确职位或一般帮凶,1943-1945,,1943,1945,1
庞炳勋,伪第二十四集团军总司令,hanjian,,,,,,,云南_昆明_呈贡；天津河北；青海黄南河南；河南平顶山；河南新乡；河南洛阳；河南_济源；河南焦作,,,,,,云南_昆明_呈贡；河南_南阳_内乡；河南_商丘_豫东综合物流产业聚集；河南_平顶山_湛河；河南_新乡_卫滨；河南_新乡_延津；河南_新乡_新乡经开区；河南_新乡_新乡高；河南_洛阳_栾川；河南_洛阳_老城；河南_济源；河南_焦作_焦作示范；河南_郑州_登封,1943-1945,,,原国民党军将领，1943年被俘后投敌，任伪第二十四集团军总司令，配合日军进攻太行山区。；原国民党河北省主席、第二十四集团军总司令，1943年在河南林县被俘后投敌，任伪第二十四集团军总司令，率部在豫北、豫西配合日军行动。；原国民党军将领，1943年在河南投日，任伪第二十四集团军总司令，所部活动于豫北、豫东地区，协助日军维持占领区。；1943年投敌后，在河南平顶山、林县等地率伪军配合日军扫荡，镇压抗日武装。；原国民党河北省主席、集团军总司令，1943年投日，任伪职，其伪军活动范围包括豫北新乡地区。；1943年在豫北被俘后投敌，任伪第二十四集团军总司令，率伪军配合日军在豫北作战，新乡、延津地区受其伪军活动影响。；原国民党河北省主席、第24集团军总司令，1943年在河南林县被俘后投敌，任伪职，率伪军配合日军在豫北、新乡地区“扫荡”。；原国民党河北省主席、第二十四集团军总司令，1943年在河南林县被俘后投敌，率部伪化，活动于豫北新乡等地，协助日军维持占领。；1943年在河南投敌，率部编入伪军，活动于豫北、豫西地区，配合日军维持占领区秩序并进攻抗日武装。；投敌后统率伪军活动于豫北、豫西，其势力范围一度接近洛阳，协助日军进攻抗日根据地。；1943年投降日军，在豫北地区收编伪军，协助日军维持占领区治安，镇压抗日力量。；1943年在河南投敌，率部降日，所部伪军活动于豫北、焦作一带。；原国民党军将领，1943年在河南投敌，被汪伪政权委任为伪第二十四集团军总司令，率部配合日军进攻抗日根据地。,未知,,A,甲级,省部级/大军区级要员,1943-1945；1943年—1945年；1943-1945年,,1943,1945,13
孙殿英,伪第二十四集团军副总司令,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,1943-1945,,,原国民党军将领，1943年被俘后投敌，任伪第二十四集团军副总司令。,未知,,C,丙级,基层头目,1943-1945,,1943,1945,1
李守信,伪蒙古军总司令,hanjian,,,,,,,云南昆明呈贡；内蒙古乌兰察布；内蒙古乌兰察布察哈尔右翼后旗；内蒙古乌海；云南普洱西；内蒙古兴安乌兰浩特；内蒙古兴安科尔沁右翼前旗；内蒙古兴安阿尔山；内蒙古包头；内蒙古包头土默特右旗；内蒙古呼伦贝尔；内蒙古呼和浩特；内蒙古呼和浩特土默特左旗；内蒙古呼和浩特武川；内蒙古巴彦淖尔乌拉特前旗；内蒙古通辽库伦旗；内蒙古通辽；山西吕梁；山西朔州；山西朔州平鲁；广西玉林；广西贺州；河北张家口；河北张家口怀来；河北张家口沽源；河北承德围场；河北承德；青海黄南河南；湖南_怀化_怀化洪江管理；陕西宝鸡,云南,昆明,呈贡,,,云南_昆明_呈贡；内蒙古_乌兰察布_卓资；内蒙古_乌兰察布_四子王旗；内蒙古_乌兰察布_察哈尔右翼后旗；内蒙古_乌海；内蒙古_乌海_海南；内蒙古_兴安_乌兰浩特；内蒙古_兴安_科尔沁右翼前旗；内蒙古_兴安_阿尔山；内蒙古_包头；内蒙古_包头_东河；内蒙古_包头_包头稀土高；内蒙古_包头_固阳；内蒙古_包头_土默特右旗；内蒙古_包头_昆都仑；内蒙古_包头_白云鄂博矿；内蒙古_呼伦贝尔_满洲里；内蒙古_呼伦贝尔_鄂伦春自治旗；内蒙古_呼伦贝尔_额尔古纳；内蒙古_呼和浩特_呼和浩特经开区；内蒙古_呼和浩特_回民；内蒙古_呼和浩特_土默特左旗；内蒙古_呼和浩特_武川；内蒙古_巴彦淖尔_乌拉特前旗；内蒙古_通辽_库伦旗；内蒙古_通辽_霍林郭勒；山西_吕梁_兴县；山西_朔州_右玉；山西_朔州_平鲁；山西_朔州_怀仁；广西_玉林_兴业；广西_贺州；河北_张家口_万全；河北_张家口_康保；河北_张家口_怀安；河北_张家口_怀来；河北_张家口_沽源；河北_张家口_阳原；河北_承德_围场；河北_承德_鹰手营子矿；河南_三门峡_义马；河南_信阳_商城；河南_南阳_内乡；湖南_怀化_怀化洪江管理；陕西_宝鸡；陕西_西安_莲湖,1930-1945,,,热河投敌，组织伪军配合日军进攻察哈尔、绥远，任伪蒙古军总司令。；原为热河土匪，后投靠日军，任伪蒙古军总司令，在察哈尔、绥远（含乌兰察布、卓资地区）协助日军镇压抗日力量，参与“治安肃正”行动。；率伪蒙古军在乌兰察布、四子王旗一带协助日军扫荡抗日武装，镇压当地民众，掠夺资源。；率伪蒙古军驻防察哈尔地区，配合日军扫荡抗日根据地，在乌兰察布及察哈尔右翼后旗一带实施“治安肃正”，残害抗日军民；原为热河土匪，后投靠日军，任伪蒙古军总司令，配合日军进攻绥远、乌海及河套地区，镇压抗日力量，掠夺资源。；投靠日本关东军，任伪蒙古军总司令，参与绥远事变，协助日军进攻绥远、内蒙古西部，镇压抗日力量。；率伪蒙古军协助日军在兴安盟、乌兰浩特一带扫荡抗日武装，参与建立伪蒙疆政权，残害当地民众。；率伪蒙古军配合日军在内蒙古东部及兴安地区作战，其部队活动范围曾覆盖兴安南省，包括科尔沁右翼前旗周边，参与镇压抗日武装。；投靠日军，任伪蒙古军总司令，参与镇压内蒙古东部抗日力量，其部队曾活动于兴安盟及阿尔山周边地区，配合日军“讨伐”东北抗日联军。；原东北军军官，投靠日军后组建伪蒙古军，在包头及绥远地区协助日军进攻抗日武装，参与建立伪蒙疆政权，镇压抗日力量。；原东北军将领，投靠日军后组建伪蒙古军，在绥远（含包头、东河）地区配合日军进攻抗日武装，参与“治安肃正”行动，残害抗日军民。；原东北军将领，1933年投靠日军，组建伪蒙古军，任总司令，配合日军进攻绥远、包头等地，镇压抗日力量，协助日本殖民统治内蒙古地区。；原为东北军军官，后投靠日军，组建伪蒙古军，在绥远（含固阳、包头）一带配合日军进攻抗日武装，镇压抗日力量。；土默特右旗人，早年投靠日军，组建伪蒙古军，任总司令，配合日军进攻绥远地区，参与建立伪蒙疆政权，镇压抗日力量。；原东北军将领，后投靠日本，任伪蒙古军总司令，在包头、绥远一带配合日军进攻抗日武装，参与建立伪蒙疆政权。；原为热河土匪，后投靠日本关东军，组建伪蒙古军，在察哈尔、绥远（含包头、白云鄂博一带）配合日军进攻抗日武装，镇压蒙汉民众，掠夺矿产资源。；率部投日，任伪蒙古军总司令，参与镇压抗日力量，在内蒙古东部及呼伦贝尔一带协助日军维持治安；率部投靠日军，任伪蒙古军总司令，在内蒙古地区配合日军作战，影响波及呼伦贝尔。；原东北军将领，投靠日军后任伪蒙古军总司令，在呼伦贝尔及内蒙古东部地区协助日军镇压抗日力量，参与“满洲国”边境军事行动。；原东北军将领，投靠日本后任伪蒙古军总司令，参与侵占绥远（今呼和浩特地区），配合日军进攻归绥（今呼和浩特），镇压抗日力量。；原为热河土匪，后投靠日本关东军，组建伪蒙古军，配合日军进攻察哈尔、绥远等地，在呼和浩特及周边地区协助日军维持殖民统治，镇压抗日力量。；原东北军将领，后投靠日本，组建伪蒙古军，在土默特左旗及绥远地区协助日军清剿抗日武装，参与“治安强化”运动，残害抗日军民。；原东北军军官，后投靠日军，任伪蒙古军总司令，在武川、百灵庙一带配合日军进攻抗日武装，参与‘治安肃正’计划，残害蒙汉民众。；原东北军军官，后投靠日本关东军，在乌拉特前旗及周边地区协助日军建立伪蒙古军政权，参与镇压抗日力量，配合日军“扫荡”河套地区。；原为热河土匪，后投靠日军，任伪蒙古军总司令，在通辽、库伦旗等地协助日军镇压抗日力量，参与‘治安肃正’行动。；原东北军军官，后投靠日军，任伪蒙古军总司令，在通辽、开鲁等地协助日军镇压抗日力量，参与建立伪满洲国和伪蒙疆政权。；率伪蒙古军活动于山西北部及吕梁部分地区，配合日军进攻抗日根据地，为日军征集物资。；率伪蒙古军活动于晋北、朔州、右玉一带，配合日军扫荡抗日根据地，抢掠民财。；原为东北军军官，后投靠日军，在平鲁及周边地区协助日军扫荡，残害抗日军民。；原为东北军军官，后投靠日军，在绥远、山西北部（含朔州、怀仁一带）协助日军进攻抗日武装，建立伪政权，参与“治安强化运动”，残害抗日军民。；活动于察哈尔、绥远，与广西玉林无关。；广西籍（贺州）汉奸，投靠日军，组织伪蒙古军，配合日军侵略华北。；原为东北军军官，后投靠日军，在察哈尔（含张家口、万全）地区组建伪蒙古军，配合日军进攻抗日武装，镇压当地民众，曾任伪蒙古联合自治政府副主席。；原为热河地方军阀，1933年投靠日军，任伪蒙古军总司令，在察哈尔（含康保、张家口地区）配合日军进攻抗日武装，参与建立伪蒙疆政权，镇压当地抗日力量。；原为热河地方军阀，1933年投靠日军，任伪蒙古军总司令，在察哈尔（含张家口、怀安一带）配合日军进攻抗日武装，参与建立伪蒙疆政权，镇压当地抗日活动。；原为热河地方军阀，1933年投靠日军，任伪蒙古军总司令，在察哈尔（含怀来周边）配合日军进攻抗日武装，参与建立伪蒙疆政权，协助日军推行“治安肃正”计划。；原为热河地方军阀，1933年投靠日军，任伪蒙古军总司令，参与侵占察哈尔（含沽源）地区，配合日军扫荡抗日武装。；原为热河土匪，后投靠日军，任伪蒙古军总司令，在察哈尔（含张家口、阳原一带）配合日军扫荡抗日武装，残害百姓。；原热河地方军阀，投日后任伪蒙古军总司令，多次率部进攻围场抗日根据地，屠杀抗日军民；率伪蒙古军配合日军在热河、承德一带进攻抗日游击队，参与制造多起屠杀事件。；长期在华北、河南北部活动，配合日军进攻抗日根据地。；长期充任伪军头目，其部曾配合日军在华北、河南等地作战。；内蒙古人，长期在伪蒙疆政权任职，其伪军活动范围主要在察哈尔、绥远一带，但曾配合日军在河南北部地区进行扫荡作战。；内蒙古人，抗战期间投靠日军，任伪蒙古军总司令，在华北地区进行伪化统治。；蒙古伪军头目，配合日军侵略华北，其活动范围与陕西宝鸡抗日后方形成对抗。；在内蒙古及华北地区组织伪军，配合日军进攻抗日根据地，其活动范围接近陕西北部。,未知,,C,丙级,基层头目,1933-1945；1936-1945；1930年代至1945年；1937年-1945年；1936年-1945年；1936年—1945年；1937-1945,,1930,1945,46
王英,伪绥西联军总司令,hanjian,,,,,,,云南昆明呈贡；云南普洱西；内蒙古_锡林郭勒_锡林浩特；山西吕梁；四川南充南部；陕西宝鸡；陕西渭南；陕西榆林,云南,昆明,呈贡,,,云南_昆明_呈贡；内蒙古_锡林郭勒_锡林浩特；山西_吕梁_兴县；河南_信阳_商城；湖南_怀化_怀化洪江管理；陕西_咸阳_彬州；陕西_咸阳_秦都；陕西_宝鸡；陕西_渭南_华州；陕西_渭南_富平；陕西_西安；陕西_西安_周至；陕西_西安_灞桥；陕西_西安_莲湖；陕西_西安_蓝田；陕西_西安_长安；陕西_西安_高陵,1936-1945,,,绥远投敌，组织伪军配合日军进犯绥西。；绥远地区土匪出身，投靠日军后组织伪军，活动于绥远、察哈尔一带，配合日军进攻抗日根据地，与锡林郭勒盟邻近地区有军事联系。；在山西、绥远交界地区组织伪军，配合日军扫荡吕梁山区抗日力量，残害抗日群众。；率伪军配合日军在华北及河南部分地区进行军事行动。；内蒙古人，抗战期间投靠日军，任伪绥西联军总司令，在华北地区进行伪化统治。；在绥远地区组织伪军，配合日军进攻绥西，活动区域与陕西邻近。；投靠日本，在绥远地区组建伪军，配合日军侵略，其活动范围与陕西北部邻近。；绥远伪军头目，配合日军侵略绥西，其活动与陕西宝鸡抗日后方有间接关联。；绥远伪军头目，活动于陕西邻近的绥西地区，与渭南、华州无直接关联但属陕西周边汉奸。；在绥远、陕西邻近地区组织伪军，配合日军进攻绥西，对陕西榆林、神木等地构成威胁。；在绥远投敌，组建伪军，配合日军进攻绥西。；在绥远地区组织伪军，配合日军进攻，绥远与陕西相邻，其活动对陕西北部有影响。；在绥远、陕西交界地区组织伪军，配合日军进攻绥西抗日根据地。；在绥远、陕西周边组织伪军，配合日军进攻绥西及陕北抗日力量。；投靠日本，组建伪军在绥远及陕西周边地区配合日军作战和统治。；在绥远、内蒙古西部组织伪军，配合日军进攻绥西，其活动区域与陕西北部邻近。；在绥远地区组织伪军，配合日军侵略，其活动范围与陕西北部接近。,未知,,C,丙级,基层头目,1936-1945；1937-1945；1939年-1945年；1939年—1945年,,1936,1945,18
李根源,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,云南籍辛亥革命元老，抗战时期主张抗日，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
龙云,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,云南省政府主席，抗战时期组织滇军出滇抗战，支持抗战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
卢汉,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；山东枣庄台儿庄,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,滇军将领，抗战时期率部参加台儿庄等战役，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
张冲,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；山东枣庄台儿庄,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,滇军将领，抗战时期率部参加台儿庄战役，无汉奸记载。；滇军将领，抗战时期参加台儿庄战役，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
曾泽生,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；山东枣庄台儿庄,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,滇军将领，抗战时期率部参加台儿庄等战役，无汉奸记载。；滇军将领，抗战时期参加台儿庄等战役，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
孙渡,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；湖北武汉,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,滇军将领，抗战时期率部参加武汉会战等，无汉奸记载。；滇军将领，抗战时期参加武汉会战等，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
安恩溥,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；山东枣庄台儿庄,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,滇军将领，抗战时期率部参加台儿庄等战役，无汉奸记载。；滇军将领，抗战时期参加台儿庄等战役，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
鲁道源,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；湖南长沙,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,滇军将领，抗战时期率部参加长沙会战等，无汉奸记载。；滇军将领，抗战时期参加长沙会战等，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
杨杰,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,云南籍军事理论家，抗战时期任驻苏大使等职，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
李弥,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,云南籍国民党军将领，抗战时期参加抗战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,3
罗卓英,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,广东籍国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
杜聿明,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加昆仑关战役、远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
戴安澜,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，壮烈殉国，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
卫立煌,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期任中国远征军司令长官，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
陈诚,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期任远征军司令长官等职，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
宋希濂,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
黄杰,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
关麟征,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡；山东枣庄台儿庄,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加台儿庄等战役，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
霍揆彰,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
周福成,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
何绍周,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
王凌云,无明确汉奸记载,hanjian,,,,,,,云南昆明呈贡,云南,昆明,呈贡,,,云南_昆明_呈贡,无,,,国民党军将领，抗战时期参加远征军入缅作战，无汉奸记载。,未知,,D,丁级,无明确职位或一般帮凶,无,,,,2
