姓名,籍贯,省份,城市,身份标签,严重度,恶性事件类型,涉及事件名称,罪行摘要,恶性事件详情,结局
周少斋,宣城孙家埠集镇,安徽,宣城,[孙家埠伪区长],MEDIUM,清剿,,伪职：孙家埠伪区长；罪行：把持伪区政权，修建碉堡，搜集山区游击队情报，多次引导日伪军进山清剿，敲诈沿江商旅。；结局：被皖南武工队锄奸击毙。,罪行：把持伪区政权，修建碉堡，搜集山区游击队情报，多次引导日伪军进山清剿，敲诈沿江商旅。,被皖南武工队锄奸击毙。
周少斋,宣城孙家埠集镇,安徽,宣城,[孙家埠伪区长],MEDIUM,清剿,,伪职：孙家埠伪区长；罪行：把持伪区政权，修建碉堡，搜集山区游击队情报，多次引导日伪军进山清剿，敲诈沿江商旅。；结局：被皖南武工队锄奸击毙。,罪行：把持伪区政权，修建碉堡，搜集山区游击队情报，多次引导日伪军进山清剿，敲诈沿江商旅。,被皖南武工队锄奸击毙。
周桂生,护驾墩（当涂）,安徽,马鞍山,[伪护驾墩乡长],MEDIUM,清乡,,伪职：伪护驾墩乡长；罪行：劣绅投敌任伪乡长，多次充当向导，带领日伪军下乡清乡，催缴粮款，迫害拒绝附逆乡民。；结局：抗战胜利后汉奸审判处决。,罪行：劣绅投敌任伪乡长，多次充当向导，带领日伪军下乡清乡，催缴粮款，迫害拒绝附逆乡民。,抗战胜利后汉奸审判处决。
周梦山,三河,河北,廊坊,[伪三河警备大队长；驻守三河县城、段甲岭据点，配合日军扫荡蓟平密根据地边沿。],MEDIUM,扫荡,,伪职：伪三河警备大队长；驻守三河县城、段甲岭据点，配合日军扫荡蓟平密根据地边沿。；结局：三河解放被俘枪决,驻守三河县城、段甲岭据点，配合日军扫荡蓟平密根据地边沿。,三河解放被俘枪决
周海山,青龙,河北,秦皇岛,[伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。],MEDIUM,扫荡,,伪职：伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。；结局：解放后镇反公审处决,伪军主力头目，多次配合日军扫荡迁青平根据地。,解放后镇反公审处决
周海山,青龙,河北,秦皇岛,[伪青龙警备大队长；伪军主力，配合日军反复扫荡迁青平无人区根据地。],MEDIUM,扫荡,,伪职：伪青龙警备大队长；伪军主力，配合日军反复扫荡迁青平无人区根据地。；结局：解放后镇反公审处决,伪军主力，配合日军反复扫荡迁青平无人区根据地。,解放后镇反公审处决
周海山,青龙,河北,秦皇岛,[伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。],MEDIUM,扫荡,,伪职：伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。；结局：解放后镇反公审处决,伪军主力头目，多次配合日军扫荡迁青平根据地。,解放后镇反公审处决
周海山,青龙,河北,秦皇岛,[伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。],MEDIUM,扫荡,,伪职：伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。；结局：解放后镇反公审处决,伪军主力头目，多次配合日军扫荡迁青平根据地。,解放后镇反公审处决
周瑜生,海门,江苏,南通,[军长],MEDIUM,扫荡,,伪任职务：伪海门警察局局长，掌控伪警武装，配合日军下乡扫荡、搜捕抗日人员。。结局：公审处决,伪任职务：伪海门警察局局长，掌控伪警武装，配合日军下乡扫荡、搜捕抗日人员。。结局：公审处决,公审处决
周瑞符,,,,[伪邯郸警备联队联队长，伪军军事主官；下辖 9 个中队 700 余人，配合日军清乡扫荡。],MEDIUM,扫荡、清乡,,伪职：伪邯郸警备联队联队长，伪军军事主官；下辖 9 个中队 700 余人，配合日军清乡扫荡。；结局：邯郸解放被俘，判处死刑,下辖 9 个中队 700 余人，配合日军清乡扫荡。,邯郸解放被俘，判处死刑
周瑞符,,,,[伪邯郸警备联队联队长，邯郸伪军军事主官；下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。],MEDIUM,扫荡、清乡,,伪职：伪邯郸警备联队联队长，邯郸伪军军事主官；下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。；结局：邯郸解放被俘，判处死刑,下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。,邯郸解放被俘，判处死刑
周瑞符,,,,[伪邯郸警备联队联队长，邯郸伪军军事主官；下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。],MEDIUM,扫荡、清乡,,伪职：伪邯郸警备联队联队长，邯郸伪军军事主官；下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。；结局：邯郸解放被俘，判处死刑,下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。,邯郸解放被俘，判处死刑
周铁铮,建昌（原凌南）,辽宁,葫芦岛,[伪凌南县县长],MEDIUM,扫荡,,伪职：伪凌南县县长；罪行：建昌药王庙一带抗日斗争激烈；执行集家并村，制造无人区，配合日伪扫荡，抓捕抗日干部群众。；结局：抗战胜利逮捕重判。,执行集家并村，制造无人区，配合日伪扫荡，抓捕抗日干部群众。,抗战胜利逮捕重判。
周阿桂,海门、葭沚、路桥一带,浙江,台州,[海门（椒江）日军便衣密探],MEDIUM,扫荡,,伪职：海门（椒江）日军便衣密探；罪行：地痞投敌，刺探我方自卫队情报，引导日军登陆扫荡，告密抓捕爱国青年。；结局：被地方抗日自卫队锄奸处决。,罪行：地痞投敌，刺探我方自卫队情报，引导日军登陆扫荡，告密抓捕爱国青年。,被地方抗日自卫队锄奸处决。
周阿荣,永嘉瞿溪、郭溪一带,浙江,温州,[日伪密探],MEDIUM,扫荡,,伪职：日伪密探；罪行：长期潜伏山区，刺探抗日武装行踪，多次引导日军进山扫荡，残害山区百姓。；结局：被浙南武工队抓获处决。,罪行：长期潜伏山区，刺探抗日武装行踪，多次引导日军进山扫荡，残害山区百姓。,被浙南武工队抓获处决。
唐振东,抚松县,吉林,白山,[伪抚松县警察讨伐大队大队长],MEDIUM,围剿,,伪职：伪抚松县警察讨伐大队大队长；罪行：投靠日军，率伪警察大队进山 “讨伐” 抗联，参与围剿杨靖宇部队，残害抗日军民。；结局：解放后被逮捕公审惩处。,罪行：投靠日军，率伪警察大队进山 “讨伐” 抗联，参与围剿杨靖宇部队，残害抗日军民。,解放后被逮捕公审惩处。
国长有,庆安、绥棱安邦河林区,黑龙江,绥化,[伪森林警察、伪挺进队队长],MEDIUM,扫荡,,伪职：伪森林警察、伪挺进队队长；罪行：土匪出身投降日军，熟悉山林，带领挺进队进山扫荡；1942 年偷袭抗联三路军总指挥部，造成抗联总参谋长许亨植牺牲，疯狂捕杀抗联小部队人员绥化新闻网。；结局：解放后镇压反革命被处决。,罪行：土匪出身投降日军，熟悉山林，带领挺进队进山扫荡,解放后镇压反革命被处决。
夏孝义,江宁陆郎花塘,江苏,南京,[军长],MEDIUM,扫荡,,伪任职务：陆郎独立警备队头目，原游击队员叛变投敌；盘踞陆郎据点，招募散兵，多次扫荡横山根据地，残害抗日军民，谈判劝降拒不悔改。。结局：1944??08??21 新四军四十六团攻坚，击毙于据点内南京雨花台...,盘踞陆郎据点，招募散兵，多次扫荡横山根据地，残害抗日军民，谈判劝降拒不悔改。。结局：1944??08??21 新四军四十六团攻坚，击毙于据点内南京雨花台...,1944??08??21 新四军四十六团攻坚，击毙于据点内南京雨花台...
夏少山,当涂城关（今马鞍山当涂）,安徽,马鞍山,[当涂维持会首任会长],MEDIUM,扫荡,,伪职：当涂维持会首任会长；罪行：县城沦陷头号汉奸，迎接日军入城，组建维持会、伪保安队；摊派粮饷物资资敌，陪同日军下乡扫荡，指认藏粮点与游击人员位置。；结局：1945 年抗战胜利公审处决。,摊派粮饷物资资敌，陪同日军下乡扫荡，指认藏粮点与游击人员位置。,1945 年抗战胜利公审处决。
夏恭,大同,山西,大同,[伪晋北自治政府最高委员；伪蒙疆联合自治政府副主席、大同炭矿理事长（1937??1941）],MEDIUM,扫荡,,伪职：伪晋北自治政府最高委员；伪蒙疆联合自治政府副主席、大同炭矿理事长（1937??1941）；罪行：清末举人，日军占领大同牵头组建维持会，建立伪晋北自治政府；推行 “铲共防共”，编闾保甲，协助日军掠夺大同煤炭、粮食，推行奴化教育，配合日军扫荡雁北各抗日根据地。；结局：1941 年病死，逃脱战后审判，钉在历史耻辱柱上,推行 “铲共防共”，编闾保甲，协助日军掠夺大同煤炭、粮食，推行奴化教育，配合日军扫荡雁北各抗日根据地。,1941 年病死，逃脱战后审判，钉在历史耻辱柱上
夏明才,官陡门、大官圩（当涂东南）,安徽,马鞍山,[伪官陡门据点总司令、黄池伪自卫大队长],MEDIUM,烧杀,,伪职：伪官陡门据点总司令、黄池伪自卫大队长；罪行：手握三百余人伪军武装，盘踞圩区，烧杀掳掠，搜捕抗日干部群众；奇袭官陡门战斗前夜赴芜湖侥幸逃脱，武装被新四军全歼。；结局：战后潜伏芦苇荡，1951 年镇反检举落网，公审处决。,罪行：手握三百余人伪军武装，盘踞圩区，烧杀掳掠，搜捕抗日干部群众,战后潜伏芦苇荡，1951 年镇反检举落网，公审处决。
姚海燕,湖南临湘,湖南,岳阳,[军长],MEDIUM,扫荡,,伪任职务：临湘日伪密缉队大队长，充当日军扫荡向导，捕杀群众。结局：抗战胜利公审枪决政协云,伪任职务：临湘日伪密缉队大队长，充当日军扫荡向导，捕杀群众。结局：抗战胜利公审枪决政协云,抗战胜利公审枪决政协云
姚秉忠,滦平,河北,承德,[伪滦平讨伐大队长；伪军铁杆，多次扫荡丰滦边沿游击区。],MEDIUM,扫荡,,伪职：伪滦平讨伐大队长；伪军铁杆，多次扫荡丰滦边沿游击区。；结局：滦平解放被俘枪决,伪军铁杆，多次扫荡丰滦边沿游击区。,滦平解放被俘枪决
姜车,海南儋州,海南,儋州,[],MEDIUM,烧杀、烧杀抢掠,,伪任职务：海头伪警察队长（姜氏四霸之首），伪武装骨干，烧杀抢掠祸害海头百姓党史学习教...。结局：战斗中被抗日武装击毙,伪任职务：海头伪警察队长（姜氏四霸之首），伪武装骨干，烧杀抢掠祸害海头百姓党史学习教...。结局：战斗中被抗日武装击毙,战斗中被抗日武装击毙
姜颂平,南通城、通如海启,江苏,南通,[汪伪特工总部苏北分区区长（朱公馆特务头子）],MEDIUM,清乡,,伪职：汪伪特工总部苏北分区区长（朱公馆特务头子）；罪行：建立南通最大特务机关 “朱公馆”，网罗大批地痞流氓充当特务；搜捕地下党组织，策反抗日人员，为清乡提供情报支持。；结局：抗战胜利后被逮捕，以汉奸罪判刑。,搜捕地下党组织，策反抗日人员，为清乡提供情报支持。,抗战胜利后被逮捕，以汉奸罪判刑。
姬振奎,高平,山西,晋城,[伪高平县县长（上党四大天王之一）],MEDIUM,清乡,,伪职：伪高平县县长（上党四大天王之一）；罪行：原国民党高平县长，1943 集体投敌；建立高平伪政权，指挥伪警备队清乡，抓捕抗日干部，掠夺粮食。；结局：抗战胜利公审枪决,建立高平伪政权，指挥伪警备队清乡，抓捕抗日干部，掠夺粮食。,抗战胜利公审枪决
姬振奎,高平,山西,晋城,[伪高平县县长（上党四大天王之一）],MEDIUM,扫荡,,伪职：伪高平县县长（上党四大天王之一）；罪行：建立高平伪政权，征粮抓丁，配合日军扫荡南部山区。；结局：抗战胜利公审镇压,罪行：建立高平伪政权，征粮抓丁，配合日军扫荡南部山区。,抗战胜利公审镇压
姬振奎,高平,山西,晋城,[伪高平县县长（上党四大天王之一）],MEDIUM,扫荡,,伪职：伪高平县县长（上党四大天王之一）；罪行：建立高平伪政权，征粮抓丁，配合日军扫荡南部山区。；结局：抗战胜利公审镇压,罪行：建立高平伪政权，征粮抓丁，配合日军扫荡南部山区。,抗战胜利公审镇压
孙少山,安庆东郊广济圩,安徽,安庆,[广济圩伪区团长],MEDIUM,扫荡,,伪职：广济圩伪区团长；罪行：把持圩区伪自卫团，强征圩民出工修碉堡，多次引导日军扫荡广济圩，抓捕接济新四军群众。；结局：解放后镇反公审处决。,罪行：把持圩区伪自卫团，强征圩民出工修碉堡，多次引导日军扫荡广济圩，抓捕接济新四军群众。,解放后镇反公审处决。
孙朝贤,濮阳,河南,濮阳,[伪濮阳警备联队长；伪军主力，多次配合日军扫荡昆吾根据地。],MEDIUM,扫荡,,伪职：伪濮阳警备联队长；伪军主力，多次配合日军扫荡昆吾根据地。；结局：濮阳解放被俘枪决,伪军主力，多次配合日军扫荡昆吾根据地。,濮阳解放被俘枪决
孙柏青,,,,[伪青龙县县长；执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。],MEDIUM,清剿,,伪职：伪青龙县县长；执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。；结局：1945 年被俘，公审判处死刑,执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。,1945 年被俘，公审判处死刑
孙柏青,兴隆,河北,承德,[伪兴隆县长，重点推行长城 “无人区” 政策，疯狂清剿。],MEDIUM,清剿,,伪职：伪兴隆县长，重点推行长城 “无人区” 政策，疯狂清剿。；结局：1945 年被俘，公审死刑,伪职：伪兴隆县长，重点推行长城 “无人区” 政策，疯狂清剿。,1945 年被俘，公审死刑
孙柏青,,,,[伪青龙县县长；执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。],MEDIUM,清剿,,伪职：伪青龙县县长；执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。；结局：1945 年被俘，公审判处死刑,执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。,1945 年被俘，公审判处死刑
孙梦麟,,,,[伪南宫县县长；南宫为冀南根据地核心，日军反复扫荡，伪政权疯狂抓捕抗日人员。],MEDIUM,扫荡,,伪职：伪南宫县县长；南宫为冀南根据地核心，日军反复扫荡，伪政权疯狂抓捕抗日人员。；结局：日本投降后潜逃，1947 抓捕归案判刑,南宫为冀南根据地核心，日军反复扫荡，伪政权疯狂抓捕抗日人员。,日本投降后潜逃，1947 抓捕归案判刑
孙永刚,南通全县,江苏,南通,[伪苏北清乡公署政治工作团团长],MEDIUM,清乡,,伪职：伪苏北清乡公署政治工作团团长；罪行：张北生妻弟，招纳大批汉奸爪牙，下乡开展奴化宣传，协助推行保甲、清乡政策，迫害爱国乡绅群众。；结局：抗战胜利后汉奸审判惩处。,伪职：伪苏北清乡公署政治工作团团长；罪行：张北生妻弟，招纳大批汉奸爪牙，下乡开展奴化宣传，协助推行保甲、清乡政策，迫害爱国乡绅群众。,抗战胜利后汉奸审判惩处。
孙祖贤,启东西三丫支镇,江苏,南通,[伪七乡清乡办事处主任],MEDIUM,清乡,,伪职：伪七乡清乡办事处主任；罪行：清乡时期刚刚上任基层伪头目，积极推行日伪政令，迫害民众。；结局：上任仅半天即被锄奸队镇压。,伪职：伪七乡清乡办事处主任；罪行：清乡时期刚刚上任基层伪头目，积极推行日伪政令，迫害民众。,上任仅半天即被锄奸队镇压。
孙老嘎,敖汉,内蒙古,赤峰,[伪敖汉警察讨伐队头目；下乡清剿，残害堡垒户。],MEDIUM,清剿,,伪职：伪敖汉警察讨伐队头目；下乡清剿，残害堡垒户。；结局：敖汉解放被俘枪决,下乡清剿，残害堡垒户。,敖汉解放被俘枪决
孙荣久,桦南、勃利,黑龙江,佳木斯,[抗联八军师长，投敌伪山林队头目],MEDIUM,杀害,,伪职：抗联八军师长，投敌伪山林队头目；罪行：投降日军，充当伪山林讨伐队；日本投降后接受国民党委任，大肆劫掠、杀害基层干部，合江四大匪首之一。；结局：1947 年剿匪被俘处决。,日本投降后接受国民党委任，大肆劫掠、杀害基层干部，合江四大匪首之一。,1947 年剿匪被俘处决。
孙荣久,桦南、勃利,黑龙江,佳木斯,[抗联八军师长，投敌伪山林队头目],MEDIUM,杀害,,伪职：抗联八军师长，投敌伪山林队头目；罪行：投降日军，充当伪山林讨伐队；日本投降后接受国民党委任，大肆劫掠、杀害基层干部，合江四大匪首之一。；结局：1947 年剿匪被俘处决。,日本投降后接受国民党委任，大肆劫掠、杀害基层干部，合江四大匪首之一。,1947 年剿匪被俘处决。
孙荣久,勃利（七台河全境）,黑龙江,七台河,[原抗联八军师长，投敌伪山林讨伐队长],MEDIUM,杀害、扫荡,,伪职：原抗联八军师长，投敌伪山林讨伐队长；罪行：投降日寇，带队扫荡抗联根据地；光复后发动勃利 “双??十二暴乱”，杀害二十余名革命干部，北满四大匪首之一。；结局：1947 年被俘公审枪决。,罪行：投降日寇，带队扫荡抗联根据地；光复后发动勃利 “双??十二暴乱”，杀害二十余名革命干部，北满四大匪首之一。,1947 年被俘公审枪决。
孙荣明,安东,辽宁,丹东,[伪安东总商会会长],MEDIUM,杀害,,伪职：伪安东总商会会长；罪行：九一八后附逆，为日军筹措物资、摊派苛捐；后卷入安东教育救国会案，被日本宪兵逮捕处死（非我方处决）。；结局：被日伪杀害。,结局：被日伪杀害。,被日伪杀害。
孙赓尧,兴城,辽宁,葫芦岛,[伪兴城县县长],MEDIUM,围剿,,伪职：伪兴城县县长；罪行：伪满兴城县主官，推行集团部落，强征国兵、劳工，管控沿海口岸，盘查过往人员，围剿辽西义勇军。；结局：光复后逮捕判刑。,罪行：伪满兴城县主官，推行集团部落，强征国兵、劳工，管控沿海口岸，盘查过往人员，围剿辽西义勇军。,光复后逮捕判刑。
孙金彪,献县,河北,沧州,[伪献县警备大队长；多次扫荡献县、交河交界村庄。],MEDIUM,扫荡,,伪职：伪献县警备大队长；多次扫荡献县、交河交界村庄。；结局：献县解放被俘处死,多次扫荡献县、交河交界村庄。,献县解放被俘处死
孟凌云,本溪南甸,辽宁,本溪,[本溪县大地主，煤矿资本家，伪地方势力],MEDIUM,围剿,,伪职：本溪县大地主，煤矿资本家，伪地方势力；罪行：与日本财阀合作开采田师府煤矿，掠夺矿产；充当日伪地方爪牙，压榨矿工，协助日伪搜集山区情报，配合围剿抗联一师。；结局：解放后镇反公审处决。,充当日伪地方爪牙，压榨矿工，协助日伪搜集山区情报，配合围剿抗联一师。,解放后镇反公审处决。
季寿山,高阳,河北,保定,[伪高阳警备大队长；多次扫荡高、蠡边境，破坏地道村庄。],MEDIUM,扫荡,,伪职：伪高阳警备大队长；多次扫荡高、蠡边境，破坏地道村庄。；结局：高阳解放被俘处决,多次扫荡高、蠡边境，破坏地道村庄。,高阳解放被俘处决
安恩达,武川,内蒙古,呼和浩特,[伪武川警备联队长；伪军主力，频繁进山围剿八路军大青山支队。],MEDIUM,围剿,,伪职：伪武川警备联队长；伪军主力，频繁进山围剿八路军大青山支队。；结局：武川解放被俘公审枪决,伪军主力，频繁进山围剿八路军大青山支队。,武川解放被俘公审枪决
安恩达,固阳,内蒙古,包头,[伪固阳警备联队长；伪军主力，反复进山围剿大青山支队。],MEDIUM,围剿,,伪职：伪固阳警备联队长；伪军主力，反复进山围剿大青山支队。；结局：固阳解放被俘公审枪决,伪军主力，反复进山围剿大青山支队。,固阳解放被俘公审枪决
安照白,无锡东乡、县城,江苏,无锡,[第四任伪无锡县县长（安镇人）],MEDIUM,扫荡、清乡,,伪职：第四任伪无锡县县长（安镇人）；罪行：积极配合日军清乡扫荡，迫害抗日群众，对日军极度顺从。；结局：抗日锄奸队潜入无锡城内将其击毙。,罪行：积极配合日军清乡扫荡，迫害抗日群众，对日军极度顺从。,抗日锄奸队潜入无锡城内将其击毙。
宋万义,赤城,河北,张家口,[伪赤城警备大队长；伪军主力，配合日军反复扫荡海陀山。],MEDIUM,扫荡,,伪职：伪赤城警备大队长；伪军主力，配合日军反复扫荡海陀山。；结局：赤城解放被俘枪决,伪军主力，配合日军反复扫荡海陀山。,赤城解放被俘枪决
宋仲元,大同,山西,大同,[伪晋北讨伐队大队长],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪晋北讨伐队大队长；罪行：伪军主力，盘踞大同周边据点，多次配合日军扫荡浑源、灵丘、广灵抗日根据地，烧杀抢掠。；结局：大同解放被俘公审枪决,罪行：伪军主力，盘踞大同周边据点，多次配合日军扫荡浑源、灵丘、广灵抗日根据地，烧杀抢掠。,大同解放被俘公审枪决
宋四娃,安泽,山西,临汾,[伪安泽警备大队长],MEDIUM,扫荡,,伪职：伪安泽警备大队长；罪行：驻守安泽县城、府城据点，进山扫荡。；结局：解放后镇压处决,罪行：驻守安泽县城、府城据点，进山扫荡。,解放后镇压处决
宋子君,,,,[伪汾阳县县长],MEDIUM,扫荡,,伪职：伪汾阳县县长；罪行：建立汾阳伪公署，管控太汾公路，强征粮食壮丁，多次配合日军扫荡晋绥八分区。；结局：1945 解放文水战斗中被击毙,罪行：建立汾阳伪公署，管控太汾公路，强征粮食壮丁，多次配合日军扫荡晋绥八分区。,1945 解放文水战斗中被击毙
宋存贵,静乐,山西,忻州,[伪军团长，三交据点大汉奸],MEDIUM,扫荡,,伪职：伪军团长，三交据点大汉奸；罪行：死心投靠日军，多次扫荡静乐山区，双手沾满军民鲜血。；结局：1944 中秋夜，八路军武工队攻入据点将其击毙。,罪行：死心投靠日军，多次扫荡静乐山区，双手沾满军民鲜血。,1944 中秋夜，八路军武工队攻入据点将其击毙。
宋宝山,平泉,河北,承德,[伪平泉讨伐队队长；反复扫荡承平宁联合县，残害堡垒户。],MEDIUM,扫荡,,伪职：伪平泉讨伐队队长；反复扫荡承平宁联合县，残害堡垒户。；结局：1945 平泉解放被俘处决,反复扫荡承平宁联合县，残害堡垒户。,1945 平泉解放被俘处决
宋德山,集宁,内蒙古,乌兰察布,[伪集宁警备大队长；伪军主力，盘踞集宁、老平地泉据点，多次配合日军进山清剿绥南抗日武装，抓捕县区干部。],MEDIUM,清剿,,伪职：伪集宁警备大队长；伪军主力，盘踞集宁、老平地泉据点，多次配合日军进山清剿绥南抗日武装，抓捕县区干部。；结局：集宁解放被俘公审枪决,伪军主力，盘踞集宁、老平地泉据点，多次配合日军进山清剿绥南抗日武装，抓捕县区干部。,集宁解放被俘公审枪决
宋敬之,,,,[伪武邑县县长；五一大扫荡后重建伪政权，搜捕冀中六分区干部。],MEDIUM,扫荡,,伪职：伪武邑县县长；五一大扫荡后重建伪政权，搜捕冀中六分区干部。；结局：战后逮捕判刑,五一大扫荡后重建伪政权，搜捕冀中六分区干部。,战后逮捕判刑
宋植旃,贵池全县,安徽,池州,[汪伪贵池县正式伪县长],MEDIUM,扫荡,,伪职：汪伪贵池县正式伪县长；罪行：1943 年出任汪伪贵池县长，建立完整伪县公署、伪警察、伪保安队，推行保甲良民证，配合日军扫荡贵西、观前游击区，掠夺沿江物资。；结局：日本投降后被捕，判处死刑。,罪行：1943 年出任汪伪贵池县长，建立完整伪县公署、伪警察、伪保安队，推行保甲良民证，配合日军扫荡贵西、观前游击区，掠夺沿江物资。,日本投降后被捕，判处死刑。
宋殿元,河北康保,河北,张家口,[伪讨伐队头目，长期活动包头周边；烧杀淫掠，血债极多。],MEDIUM,烧杀,,伪职：伪讨伐队头目，长期活动包头周边；烧杀淫掠，血债极多。；结局：1951 包头人民广场公审枪决,烧杀淫掠，血债极多。,1951 包头人民广场公审枪决
宋清云,慈溪、庄桥一带,浙江,宁波,[伪慈溪县保安大队大队长],MEDIUM,烧杀、扫荡,,伪职：伪慈溪县保安大队大队长；罪行：原国民党地方武装头目，率部公开投敌；盘踞庄桥、长石桥据点，多次配合日军扫荡慈北、三北抗日根据地，烧杀劫掠。；结局：抗战后期被抗日武装歼灭，本人被俘处决。,盘踞庄桥、长石桥据点，多次配合日军扫荡慈北、三北抗日根据地，烧杀劫掠。,抗战后期被抗日武装歼灭，本人被俘处决。
宋筱白,台安,辽宁,鞍山,[伪台安县县长],MEDIUM,围剿,,伪职：伪台安县县长；罪行：台安当时属伪锦州省；推行保甲、集团部落，强征壮丁，围剿地方抗日武装。；结局：战后逮捕判刑。,推行保甲、集团部落，强征壮丁，围剿地方抗日武装。,战后逮捕判刑。
宝音达来,奈曼旗,内蒙古,通辽,[伪奈曼警察讨伐队长；多次进山围剿抗日武装，残害堡垒户。],MEDIUM,围剿,,伪职：伪奈曼警察讨伐队长；多次进山围剿抗日武装，残害堡垒户。；结局：奈曼解放被俘枪决,多次进山围剿抗日武装，残害堡垒户。,奈曼解放被俘枪决
宫保衡,宁武,山西,忻州,[伪宁武县县长],MEDIUM,扫荡,,伪职：伪宁武县县长；罪行：建立宁武伪政权，管控同蒲铁路，强征劳工，配合日军扫荡管涔山根据地。；结局：战后逮捕判刑,罪行：建立宁武伪政权，管控同蒲铁路，强征劳工，配合日军扫荡管涔山根据地。,战后逮捕判刑
尤美玉,吴桥尤庄,河北,沧州,[原张国基部副司令投敌，伪宁吴反共自卫军司令；清乡反共，破坏吴桥根据地。],MEDIUM,清乡,,伪职：原张国基部副司令投敌，伪宁吴反共自卫军司令；清乡反共，破坏吴桥根据地。；结局：吴桥解放被俘处决,清乡反共，破坏吴桥根据地。,吴桥解放被俘处决
崔勋臣,宝坻,天津,天津,[伪宝坻警备大队长；伪军主力，下乡清乡，抓捕抗日干部。],MEDIUM,清乡,,伪职：伪宝坻警备大队长；伪军主力，下乡清乡，抓捕抗日干部。；结局：宝坻解放被俘枪决,伪军主力，下乡清乡，抓捕抗日干部。,宝坻解放被俘枪决
崔子和,,,,[伪饶阳县县长；五一大扫荡之后强化保甲制度。],MEDIUM,扫荡,,伪职：伪饶阳县县长；五一大扫荡之后强化保甲制度。；结局：战后汉奸罪判处徒刑,五一大扫荡之后强化保甲制度。,战后汉奸罪判处徒刑
崔步武,泰州城区（姜堰）,江苏,泰州,[伪泰县（泰州）县长],MEDIUM,清乡、围剿,,伪职：伪泰县（泰州）县长；罪行：汪伪清乡专员，主政泰县伪政权，推行清乡保甲，征粮抓丁，配合日伪围剿苏中三分区抗日武装南通市档案...。；结局：抗战胜利后被捕判刑。,罪行：汪伪清乡专员，主政泰县伪政权，推行清乡保甲，征粮抓丁，配合日伪围剿苏中三分区抗日武装南通市档案...。,抗战胜利后被捕判刑。
崔老印,广宗,河北,邢台,[伪广宗警备大队长；带队下乡扫荡，残害堡垒户。],MEDIUM,扫荡,,伪职：伪广宗警备大队长；带队下乡扫荡，残害堡垒户。；结局：1945 被俘枪决,带队下乡扫荡，残害堡垒户。,1945 被俘枪决
巫孔玺,镇江,江苏,镇江,"[部长, 清乡]",MEDIUM,杀害、清乡,,伪任职务：原抗日干部，跟随包建华叛变；任伪清乡公署特别行动总队副队长，出卖根据地情报，杀害多名抗日干部，拆民房修碉堡、搜刮钱粮抖音百科。。结局：战后逮捕，判处死刑执行枪决,任伪清乡公署特别行动总队副队长，出卖根据地情报，杀害多名抗日干部，拆民房修碉堡、搜刮钱粮抖音百科。。结局：战后逮捕，判处死刑执行枪决,战后逮捕，判处死刑执行枪决
廖志强,广西柳江穿山,广西,柳州,"[军长, 维持会]",MEDIUM,扫荡,,伪任职务：穿山乡伪维持会长，勾结日军扫荡穿山一带游击区。结局：审判后处死,伪任职务：穿山乡伪维持会长，勾结日军扫荡穿山一带游击区。结局：审判后处死,审判后处死
张万镒,平鲁,山西,朔州,[伪平鲁县县长],MEDIUM,扫荡,,伪职：伪平鲁县县长；罪行：建立平鲁伪政权，修筑炮楼，配合讨伐队扫荡平鲁山区。；结局：战后汉奸罪判刑,罪行：建立平鲁伪政权，修筑炮楼，配合讨伐队扫荡平鲁山区。,战后汉奸罪判刑
张世功,崞县,山西,忻州,[伪崞县警备大队长],MEDIUM,扫荡,,伪职：伪崞县警备大队长；罪行：驻守原平、崞阳，配合日军同川大扫荡。；结局：解放后镇压处决,罪行：驻守原平、崞阳，配合日军同川大扫荡。,解放后镇压处决
